"TENANT_NAME","REF_TYPE","REF_NAME"
"apexdemo","COST_PRODUCT_SKU","B88318 Windows OS"
"apexdemo","COST_PRODUCT_SKU","B88327 Object Storage - Outbound Data Transfer"
"apexdemo","COST_PRODUCT_SKU","B88514 Virtual Machine Standard - X7"
"apexdemo","COST_PRODUCT_SKU","B89039 Oracle Autonomous Data Warehouse - BYOL"
"apexdemo","COST_PRODUCT_SKU","B89040 Oracle Autonomous Data Warehouse"
"apexdemo","COST_PRODUCT_SKU","B89041 Oracle Autonomous Data Warehouse - Exadata Storage"
"apexdemo","COST_PRODUCT_SKU","B90453 Oracle Autonomous Transaction Processing"
"apexdemo","COST_PRODUCT_SKU","B90454 Oracle Autonomous Transaction Processing - BYOL"
"apexdemo","COST_PRODUCT_SKU","B90455 Oracle Autonomous Transaction Processing - Exadata Storage"
"apexdemo","COST_PRODUCT_SKU","B90926 Monitoring Service - Retrieval"
"apexdemo","COST_PRODUCT_SKU","B91393 Oracle Autonomous Transaction Processing - Free"
"apexdemo","COST_PRODUCT_SKU","B91394 Oracle Autonomous Transaction Processing - Exadata Storage - Free"
"apexdemo","COST_PRODUCT_SKU","B91627 Object Storage - Requests"
"apexdemo","COST_PRODUCT_SKU","B91628 Block Volume - Backup"
"apexdemo","COST_PRODUCT_SKU","B91632 Data Safe - Database Cloud Edition - Instances"
"apexdemo","COST_PRODUCT_SKU","B91961 Block Volume - Storage"
"apexdemo","COST_PRODUCT_SKU","B91962 Block Volume - Performance Units"
"apexdemo","COST_PRODUCT_SKU","B92306 Standard - E3"
"apexdemo","COST_PRODUCT_SKU","B92307 Standard - E3 - Memory"
"apexdemo","COST_SUBSCRIPTION_ID","7242949"
"apexdemo","PRD_COMPARTMENT_NAME","ADBGG"
"apexdemo","PRD_COMPARTMENT_NAME","ADBGG_Delegate"
"apexdemo","PRD_COMPARTMENT_NAME","ADB_APEX"
"apexdemo","PRD_COMPARTMENT_NAME","ADW_Delegate"
"apexdemo","PRD_COMPARTMENT_NAME","ADW_HOL1"
"apexdemo","PRD_COMPARTMENT_NAME","ADW_Workshop"
"apexdemo","PRD_COMPARTMENT_NAME","ATP_Delegate"
"apexdemo","PRD_COMPARTMENT_NAME","ATP_HOL1"
"apexdemo","PRD_COMPARTMENT_NAME","ATP_HOL2"
"apexdemo","PRD_COMPARTMENT_NAME","ATP_TTT"
"apexdemo","PRD_COMPARTMENT_NAME","ATP_Workshop"
"apexdemo","PRD_COMPARTMENT_NAME","Backup-Demo"
"apexdemo","PRD_COMPARTMENT_NAME","WorkshopDev"
"apexdemo","PRD_COMPARTMENT_NAME","jesus-demo"
"apexdemo","PRD_COMPARTMENT_NAME","oractdemeabdmautodb"
"apexdemo","PRD_COMPARTMENT_PATH","ADBGG"
"apexdemo","PRD_COMPARTMENT_PATH","ADB_APEX"
"apexdemo","PRD_COMPARTMENT_PATH","ADW_Workshop"
"apexdemo","PRD_COMPARTMENT_PATH","ATP_Workshop"
"apexdemo","PRD_COMPARTMENT_PATH","Backup-Demo"
"apexdemo","PRD_COMPARTMENT_PATH","WorkshopDev"
"apexdemo","PRD_COMPARTMENT_PATH","jesus-demo"
"apexdemo","PRD_REGION","ca-toronto-1"
"apexdemo","PRD_REGION","eu-frankfurt-1"
"apexdemo","PRD_REGION","uk-london-1"
"apexdemo","PRD_SERVICE","BLOCK_STORAGE"
"apexdemo","PRD_SERVICE","COMPUTE"
"apexdemo","PRD_SERVICE","DATABASE"
"apexdemo","PRD_SERVICE","DATASAFE"
"apexdemo","PRD_SERVICE","NETWORK"
"apexdemo","PRD_SERVICE","OBJECTSTORE"
"apexdemo","PRD_SERVICE","TELEMETRY"
"melaniedemo","COST_PRODUCT_SKU","B88327 Object Storage - Outbound Data Transfer"
"melaniedemo","COST_PRODUCT_SKU","B90926 Monitoring Service - Retrieval"
"melaniedemo","COST_PRODUCT_SKU","B91444 Virtual Machine Standard - E2 Micro - Free"
"melaniedemo","COST_PRODUCT_SKU","B91445 Block Volume - Free"
"melaniedemo","COST_PRODUCT_SKU","B91628 Object Storage - Storage"
"melaniedemo","COST_PRODUCT_SKU","B91961 Block Volume - Storage"
"melaniedemo","COST_PRODUCT_SKU","B91962 Block Volume - Performance Units"
"melaniedemo","COST_SUBSCRIPTION_ID","7592274"
"melaniedemo","PRD_COMPARTMENT_NAME","APEX"
"melaniedemo","PRD_COMPARTMENT_NAME","Perform"
"melaniedemo","PRD_COMPARTMENT_NAME","VPN-TEST"
"melaniedemo","PRD_COMPARTMENT_PATH","APEX"
"melaniedemo","PRD_COMPARTMENT_PATH","VPN-TEST"
"melaniedemo","PRD_REGION","uk-london-1"
"melaniedemo","PRD_SERVICE","BLOCK_STORAGE"
"melaniedemo","PRD_SERVICE","COMPUTE"
"melaniedemo","PRD_SERVICE","NETWORK"
"melaniedemo","PRD_SERVICE","OBJECTSTORE"
"melaniedemo","PRD_SERVICE","TELEMETRY"
